WKT,name,description
"LINESTRING (11.828723 58.051216 0.0, 11.82882 58.05016 0.0, 11.828758 58.049928 0.0, 11.828458 58.049612 0.0, 11.82838 58.049627 0.0, 11.828112 58.049608 0.0, 11.827643 58.049655 0.0, 11.826884 58.049696 0.0, 11.826572 58.049742 0.0, 11.82621 58.04983 0.0)",330 m,
"LINESTRING (11.838289 58.059198 0.0, 11.838246 58.059088 0.0, 11.837844 58.058909 0.0, 11.837093 58.058503 0.0, 11.836368 58.058001 0.0, 11.835902 58.057626 0.0, 11.835666 58.057496 0.0, 11.835011 58.057314 0.0, 11.834761 58.057045 0.0)",330 m,
"LINESTRING (11.832236 58.062904 0.0, 11.832435 58.0627 0.0, 11.832786 58.062745 0.0, 11.834073 58.063018 0.0, 11.834647 58.063106 0.0, 11.834706 58.062938 0.0, 11.834974 58.062552 0.0, 11.835242 58.062487 0.0, 11.835554 58.062459 0.0, 11.835854 58.062459 0.0)",290 m,
"LINESTRING (11.835854 58.062459 0.0, 11.836046 58.062456 0.0, 11.836196 58.062422 0.0, 11.836298 58.062342 0.0, 11.836427 58.06199 0.0, 11.836643 58.061649 0.0, 11.83675 58.061559 0.0, 11.837254 58.061701 0.0, 11.837545 58.061748 0.0, 11.837765 58.061851 0.0, 11.837992 58.061896 0.0, 11.838192 58.06184 0.0, 11.838364 58.061723 0.0, 11.838828 58.061705 0.0, 11.838767 58.061203 0.0, 11.838955 58.061056 0.0, 11.839142 58.061036 0.0, 11.840054 58.061008 0.0, 11.840135 58.061006 0.0, 11.840476 58.061067 0.0)",440 m,
"LINESTRING (11.834362 58.05952 0.0, 11.835397 58.059627 0.0, 11.835548 58.059621 0.0, 11.835666 58.059596 0.0, 11.835971 58.059391 0.0, 11.836084 58.059372 0.0, 11.836451 58.059499 0.0, 11.837066 58.059709 0.0, 11.837332 58.05984 0.0, 11.837708 58.059845 0.0, 11.83773 58.059962 0.0, 11.837831 58.059996 0.0, 11.838084 58.060214 0.0, 11.838126 58.060299 0.0, 11.838529 58.060339 0.0, 11.838738 58.060396 0.0, 11.838985 58.06043 0.0, 11.839232 58.060512 0.0, 11.839484 58.060597 0.0, 11.839551 58.060612 0.0, 11.839924 58.060722 0.0, 11.840026 58.060802 0.0, 11.840054 58.061008 0.0, 11.840135 58.061006 0.0, 11.840476 58.061067 0.0)",470 m,
"LINESTRING (11.838289 58.059198 0.0, 11.838639 58.059318 0.0, 11.838945 58.059349 0.0, 11.840189 58.059747 0.0, 11.839551 58.060612 0.0, 11.839924 58.060722 0.0, 11.840026 58.060802 0.0, 11.840054 58.061008 0.0, 11.840135 58.061006 0.0, 11.840476 58.061067 0.0)",320 m,
"LINESTRING (11.840476 58.061067 0.0, 11.840831 58.06097 0.0, 11.84272 58.060894 0.0, 11.843036 58.060768 0.0, 11.843284 58.060661 0.0, 11.843498 58.060508 0.0, 11.843858 58.060386 0.0, 11.844373 58.06036 0.0)",260 m,
"LINESTRING (11.838289 58.059198 0.0, 11.838639 58.059318 0.0, 11.838945 58.059349 0.0, 11.840189 58.059747 0.0, 11.842509 58.060477 0.0, 11.843036 58.060768 0.0, 11.843284 58.060661 0.0, 11.843498 58.060508 0.0, 11.843858 58.060386 0.0, 11.844373 58.06036 0.0)",430 m,
"LINESTRING (11.844373 58.06036 0.0, 11.844708 58.060355 0.0, 11.84526 58.060256 0.0, 11.845652 58.06014 0.0, 11.845796 58.06006 0.0, 11.846043 58.060043 0.0, 11.846623 58.059822 0.0, 11.846553 58.059473 0.0, 11.846649 58.059285 0.0, 11.847041 58.059053 0.0, 11.847159 58.058996 0.0, 11.847441 58.058901 0.0)",260 m,
"LINESTRING (11.831449 58.061399 0.0, 11.831884 58.06151 0.0, 11.832066 58.061508 0.0, 11.832597 58.061493 0.0, 11.833616 58.061845 0.0, 11.834067 58.062013 0.0, 11.834201 58.062129 0.0, 11.834099 58.062348 0.0, 11.834196 58.062413 0.0, 11.834974 58.062552 0.0, 11.835242 58.062487 0.0, 11.835554 58.062459 0.0, 11.835854 58.062459 0.0)",330 m,
"LINESTRING (11.834362 58.05952 0.0, 11.834829 58.059571 0.0, 11.835397 58.059627 0.0, 11.835548 58.059621 0.0, 11.835666 58.059596 0.0, 11.835971 58.059391 0.0, 11.836084 58.059372 0.0, 11.836451 58.059499 0.0, 11.835724 58.060407 0.0, 11.835048 58.06125 0.0, 11.835569 58.061386 0.0, 11.835596 58.061607 0.0, 11.836427 58.06199 0.0, 11.836298 58.062342 0.0, 11.836196 58.062422 0.0, 11.836046 58.062456 0.0, 11.835854 58.062459 0.0)",550 m,
"LINESTRING (11.819742 58.062489 0.0, 11.820503 58.062387 0.0, 11.820723 58.062442 0.0, 11.821121 58.062578 0.0, 11.821443 58.062608 0.0, 11.821942 58.06257 0.0, 11.824308 58.062584 0.0, 11.825498 58.062709 0.0, 11.826314 58.062842 0.0, 11.826587 58.062927 0.0, 11.826861 58.06308 0.0, 11.827054 58.063177 0.0, 11.827451 58.063293 0.0, 11.827794 58.063373 0.0, 11.828009 58.063416 0.0)",520 m,
"LINESTRING (11.831229 58.063829 0.0, 11.830959 58.063626 0.0, 11.830831 58.063563 0.0, 11.83009 58.063416 0.0, 11.829688 58.063379 0.0, 11.82913 58.063413 0.0, 11.828535 58.063436 0.0, 11.828009 58.063416 0.0)",210 m,
